k,metric,mean,std,median
5,recall,0.8494598568098568,0.16605341356571338,0.8571428571428571
5,precision,0.36475519154770997,0.17849424738931546,0.3333333333333333
5,ndcg,0.856957293530824,0.10754587429049708,0.8711874867148759
5,map,0.9767888888888889,0.08676978213982442,1.0
10,recall,0.9115684509934511,0.12778050542572011,1.0
10,precision,0.2738793651417286,0.13479252854870608,0.25
10,ndcg,0.8568038044126431,0.08998170493857488,0.8640115832553459
10,map,0.9755949409486017,0.07763466614756352,1.0
20,recall,0.9449962648462649,0.104559028484782,1.0
20,precision,0.18730316273367972,0.09081419933625481,0.17142857142857143
20,ndcg,0.8682318916973153,0.0761000553746917,0.8726765954604038
20,map,0.9761398887345241,0.07221234065358537,1.0
50,recall,0.9674786824286823,0.0823299590661583,1.0
50,precision,0.10982994574874518,0.045462990980286756,0.10526315789473684
50,ndcg,0.8823375259270354,0.06414257017841493,0.8890182973402652
50,map,0.9724906698185755,0.0792331269112791,1.0
